ARCH;Model;Runtime (s)
512;MobileNet;0.7358777523040771
512;VGG-16;2.7472174167633057
512;DenseNet-201;35.64546871185303
512;ResNet-50;26.113783359527588
1024;MobileNet;0.7335293292999268
1024;VGG-16;2.181380271911621
1024;DenseNet-201;21.705052137374878
1024;ResNet-50;14.4279625415802
2304;MobileNet;0.6779026985168457
2304;VGG-16;1.4650824069976807
2304;DenseNet-201;12.093564510345459
2304;ResNet-50;7.6786205768585205
4096;MobileNet;0.656512975692749
4096;VGG-16;1.1144378185272217
4096;DenseNet-201;8.15833044052124
4096;ResNet-50;5.271979808807373
